"drug_id","spec","qty","rule_key","pre_tc","note"
硝酸甘油片,"0.5mg*36 片*3瓶",108,硝酸甘油片,,
硫糖铝咀嚼片,"0.25g*100片",100,硫糖铝咀嚼片,,
硫糖铝混悬凝胶,"5ml:1g*18袋",18,硫糖铝混悬凝胶,,
硫酸吗啡缓释片,"30mg*10片",10,硫酸吗啡缓释片(美施康定),,
硫酸吗啡缓释片(美施康定),"30mg*10片",10,硫酸吗啡缓释片,,
硫酸庆大霉素注射液,"2ml:8万单位*10支",10,硫酸庆大霉素注射液,,
硫酸庆大霉素片,"40mg*100片",100,硫酸庆大霉素片,,
硫酸氢氯吡格雷片,"75mg*14片",14,硫酸氢氯吡格雷片,,
硫酸氢氯吡格雷片,"75mg*28片",28,硫酸氢氯吡格雷片,,
硫酸沙丁胺醇片,"2mg*100片",100,硫酸沙丁胺醇片,,
硫酸镁注射液,"2ml:1g*10支",10,硫酸镁注射液,,
硫酸阿托品注射液,"1ml:0.5mg*10支",10,硫酸阿托品注射液,,
碳酸氢钠注射液,"10ml:0.5g*5支",5,碳酸氢钠注射液,,
碳酸氢钠片,"0.5g*100片",100,碳酸氢钠片,,
磷酸可待因片,"30mg*20片",20,磷酸可待因片,,
磷酸奥司他韦胶囊,"75mg*10粒*1板/盒",10,磷酸奥司他韦胶囊,,
磷酸奥司他韦颗粒,"15mg*10袋",10,磷酸奥司他韦颗粒,,
磷酸西格列汀片,"100mg*36片",36,磷酸西格列汀片,,
秋水仙碱片,"0.5mg*20片",20,秋水仙碱片,,
维生素B12注射液,"1ml*0.5mg*10支",10,维生素B12注射液,,
维生素B1注射液,"2ml:0.1g*10支",10,维生素B1注射液,,
维生素B1片,"10mg*100片",100,维生素B1片,,
维生素B1片,"10mg:100片",100,维生素B1片,,
维生素B2片,"5mg*100片",100,维生素B2片,,
维生素B6注射液,"2ml；0.1g*10支/盒",10,维生素B6注射液,,
维生素B6片,"10mg*30片/板*3板/盒",90,维生素B6片,,
维生素C注射液,"0.5g*2ml*10支",10,维生素C注射液,,
维生素C片,"100mg*1000片",1000,维生素C片,,
维生素K1注射液,"1ml:10mg*10支",10,维生素K1注射液,,
缬沙坦氢氯噻嗪片,"80mg:12.5mg*14片",14,缬沙坦氢氯噻嗪片,,
缬沙坦氨氯地平片(Ⅰ),"80mg:5mg*28片",28,缬沙坦氨氯地平片(Ⅰ),,
缬沙坦胶囊,"80mg*30粒",30,缬沙坦胶囊,,
罗沙司他胶囊,"50mg*3粒",3,罗沙司他胶囊,,
聚乙二醇4000散,"10g*10袋",10,聚乙二醇4000散,,
肝素钠注射液,"2ml:1.25万单位*10支",10,肝素钠注射液,,
胆木浸膏糖浆,"10ml*6支",6,胆木浸膏糖浆,,
胞磷胆碱钠注射液,"2ml:0.25g*10支",10,胞磷胆碱钠注射液,,
胞磷胆碱钠片,"0.2g*12片",12,胞磷胆碱钠片,,
胞磷胆碱钠片,"0.2g*20片",20,胞磷胆碱钠片,,
至灵胶囊,"0.25g*90粒",90,至灵胶囊,,
艾托格列净片,"5mg*14片",14,艾托格列净片（捷诺妥）,,
艾托格列净片（捷诺妥）,"5mg*14片",14,艾托格列净片,,
苯巴比妥钠注射液,"0.1g*1ml*10支",10,苯巴比妥钠注射液,,
苯溴马隆片,"50mg*28片",28,苯溴马隆片,,
苯甲酸利扎曲普坦胶囊,"5mg*3粒",3,苯甲酸利扎曲普坦胶囊,,
苯磺酸左氨氯地平片,"2.5mg*28片",28,苯磺酸左氨氯地平片,,
苯磺酸氨氯地平片,"5mg*21片",21,苯磺酸氨氯地平片,,
苯磺酸氨氯地平片,"5mg*28片",28,苯磺酸氨氯地平片,,
苯磺酸氨氯地平片(络活喜),"5mg*7片",7,苯磺酸氨氯地平片,,
茶碱缓释片,"0.1g*15片",15,茶碱缓释片,,
葡萄糖氯化钠注射液,"500ml:25g:4.5g直立式聚丙烯输液袋装（双阀）",30,葡萄糖氯化钠注射液,,
葡萄糖氯化钠注射液,"500ml：25g：4.5g直立式聚丙烯输液袋装",30,葡萄糖氯化钠注射液,,
葡萄糖酸钙注射液,"1g*10ml*5支",5,葡萄糖酸钙注射液,,
蒙脱石散,"3g*15袋",15,蒙脱石散,,
蔗糖铁注射液,"5ml：100mg铁与1600mg蔗糖",5,蔗糖铁注射液,,
藿香正气口服液,"10ml*5支",5,藿香正气口服液,,
藿香正气口服液,"10ml*6支",6,藿香正气口服液,,
螺内酯片,"20mg*100片",1000,螺内酯片,,
血塞通注射液,"2ml:200mg*10支",10,血塞通注射液,,
西咪替丁注射液,"0.2g*2ml*10支",10,西咪替丁注射液,,
西咪替丁片,"0.2g*100片",100,西咪替丁片,,
谷维素片,"10mg*100片",100,谷维素片,,
赛洛多辛胶囊,"4mg*28粒",28,赛洛多辛胶囊,,
达格列净二甲双胍缓释片(Ⅰ),"10mg:1000mg*28片",28,达格列净二甲双胍缓释片(Ⅰ),,
达比加群酯胶囊,"110mg*30片",30,达比加群酯胶囊,,
酒石酸布托啡诺注射液,"1ml:1mg*5支",5,酒石酸布托啡诺注射液,,
酒石酸布托啡诺注射液,"2ml:4mg",5,酒石酸布托啡诺注射液,,
酒石酸美托洛尔片,"25mg*40片",40,酒石酸美托洛尔片,,
酚磺乙胺注射液,"2ml:0.5g*10支",10,酚磺乙胺注射液,,
醋酸地塞米松片,"0.75mg*100片",1000,醋酸地塞米松片,,
醋酸泼尼松片,"5mg*1000片",1000,醋酸泼尼松片,,
醋酸钙片,"0.667g*24片",24,醋酸钙片,,
重酒石酸去甲肾上腺素注射液,"1m:2mg*10支",10,重酒石酸去甲肾上腺素注射液,,
金蝉止痒胶囊,"0.5g*24粒",24,金蝉止痒胶囊,,
金银花口服液,"20ml*6支",6,金银花口服液,,
铝碳酸镁咀嚼片,"0.5g*30片",30,铝碳酸镁咀嚼片,,
铝碳酸镁咀嚼片,"0.5g*48片",48,铝碳酸镁咀嚼片,,
银杏内酯注射液,"2ml（含萜类内酯10mg）",10,银杏内酯注射液,,
间苯三酚注射液,"4ml:40mg(6支/盒)",6,间苯三酚注射液,,
阿仑膦酸钠片,"70mg*2片",2,阿仑膦酸钠片,,
阿卡波糖胶囊,"50mg*30粒",30,阿卡波糖胶囊(贝希),,
阿卡波糖胶囊(贝希),"50mg*30粒",30,阿卡波糖胶囊,,
阿司匹林肠溶片,"100mg*60片",60,阿司匹林肠溶片,,
阿司匹林肠溶片(拜阿司匹灵),"100mg*30片",30,阿司匹林肠溶片,,
阿戈美拉汀片,"25mg*14片",14,阿戈美拉汀片,,
阿托伐他汀钙片,"10mg*28片",28,阿托伐他汀钙片,,
阿托伐他汀钙片(立普妥),"20mg*7片",7,阿托伐他汀钙片,,
阿昔洛韦片,"0.1g*12片",12,阿昔洛韦片,,
阿普唑仑片,"0.4mg*20片/板/盒",20,阿普唑仑片,,
阿法骨化醇片,"0.25μg*30片",30,阿法骨化醇片,,
阿法骨化醇软胶囊,"0.25μg*40粒",40,阿法骨化醇软胶囊,,
阿莫西林克拉维酸钾干混悬剂,"0.2285g*16袋",16,阿莫西林克拉维酸钾干混悬剂,,
阿莫西林胶囊,"0.25g*30粒",30,阿莫西林胶囊,,
非布司他片,"40mg*28片",28,非布司他片,,
